name,main_category,sub_category,image_url,image_local,link,ratings,no_of_ratings,description,discount_price_usd,actual_price_usd
Maanja Men's Ankle Length Cotton & Polyester & Elastane Socks (Pack of 2),stores,Men's Fashion,https://m.media-amazon.com/images/I/81y2uJzVIoL._AC_UL320_.jpg,product_images\11_Maanja_Men's_Ankle_Length_Cotton_&_Polyester_&_Elastane_Sock.jpg,https://www.amazon.in/Maanja-Cotton-Cushion-Ankle-Multicolour/dp/B07PV3R55Z/ref=sr_1_18462?qid=1679151645&s=apparel&sr=1-18462,4.0,139,"Maanja Men's Cotton Cushion Ankle Regular Socks (Free Size) - Pack Of 2,Multicolor : Amazon.in: Clothing & Accessories",2.39,4.79
FINGERS SoundBoomerang Wired in-Ear Earphones with Mic (Bundled with Free Zip Carry Case & Golden L-pin Connector) (Ink Bl...,"tv, audio & cameras",Headphones,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71y0ubXOAhL._AC_UL320_.jpg,,https://www.amazon.in/FINGERS-SoundBoomerang-Earphones-Exceptional-Experience/dp/B08Q37NCFZ/ref=sr_1_3240?qid=1679128886&s=electronics&sr=1-3240,3.8,63,"[Exclusive design with Earbuds]: Step out in style with the unique design of SoundBoomerang. It’s the perfect earphones for those who love elegance topped with exclusivity. Encased in smooth premium finish, the earbuds feature a boomerang design to up your fashion quotient. | [Rich sound with Breathtaking Bass]: Sound Boomerang breathes life into your music and videos with its mesmerizing audio and peppy bass, tuned to Indian ears. | [Premium Angular earbuds]: Ergonomically crafted with superior Angular earbuds for all day listening, SoundBoomerang comes bundled with 3 different sizes of ear gels to provide personalized fit and noise isolation. | [Heavy on Durability – with Golden L-Pin]: SoundBoomerang has been crafted with sturdy yet lightweight materials to rest gently in your ears. The golden 3.5mm L-Pin adds additional durability and offers faster transmission of the audio signal for clearer sound. | [Carry Case Included for Safety and Storage]: You can keep your earphones safe and sound and carry them around in the bundled compact zip carry case when on the go. | [Fingertip Controls]: Experience finest hands-free conversations with a built-in Mic and sleek controller that lets you instantly adjust the volume and control music and videos playback.",4.19,7.19
ACTIVA HIGH Speed 390 RPM 1200MM BEE Approved 5 Star Rated Anti DUST Coated Pure Copper Galaxy-1 Ceiling Fan (Silver Blu...,appliances,All Appliances,https://m.media-amazon.com/images/I/31cLZo1mCcL._AC_UL320_.jpg,product_images\13_ACTIVA_HIGH_Speed_390_RPM_1200MM_BEE_Approved_5_Star_Rated_A.jpg,https://www.amazon.in/ACTIVA-Approved-Galaxy-1-Ceiling-Warranty/dp/B07WKLS3S2/ref=sr_1_9547?qid=1679136124&s=appliances&sr=1-9547,3.6,52,"✅POWERFUL AIRFLOW (390 RPM) - Low-density helps make this silent ceiling fan lightweight to provide a superior air throw and long-lasting durability. The powerful motor works at 390 RPM, producing high-speed airflow for your comfort, while the premium quality material allows for better heat dissipation for efficiency. | ✅1200 MM BLADES SWEEP - Designed with 1200 mm blades to offer an airflow that ensures a wider conical spread of breeze in all corners of the room. Power Consumption: The high-end engineering of this ceiling fan helps it consume just 60 W of power, so there's no need to worry about the electric bill. | ✅BEE Label Period: Certified energy-efficient product valid from 17th jan 2024 to 31th dec 2025, assuring trusted performance and verified energy-saving compliance. | ✅EXCLUSIVE WITH HIGH FLOW TECHNOLOGY - Heavy crc stamping to enhance the life of the fan. This fan is also energy-efficient, using less energy to move the same amount of air as a normal ceiling fan. High flow technology ceiling fans are ideal for larger spaces such as living rooms, bedrooms. | ✅AERO DYNAMICALLY DESIGNED BLADES - The Aerodynamic ceiling fan blades that are designed to optimize air flow and reduce turbulence. The aerodynamic design allows for a smooth flow of air which helps to increase the fan's efficiency and reduce noise. | ✅Box Contains: Fan Motor, Blade Set, Canopy Set, Downroad and Shackle, Manufactured Under The Guidance Of Highly Qualified Engineers To Ensure The Life Of Product, Note: Self Installation and product will be repaired in our service center. | ✅DOUBLE BALL BAERING - The powerful motor come with double ball bearing which makes sure that the fan runs smoothly without making much noise. The two ball bearings help to improve the fan's stability, reduce friction and increase the lifespan of the fan. | ✅WARRANTY TYPE : Product installation to be done by the only customer Himself. and Customer will send the product to a service center for repair. The product will be repaired in our service center only.",31.26,59.76
"SIKAI Silicone Case Cover for LG AN-MR21GA Magic Remote, Shockproof Protective Cover for LG Smart TV Remote 2021, Standing...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/61YkE5eWIGL._AC_UL320_.jpg,"product_images\14_SIKAI_Silicone_Case_Cover_for_LG_AN-MR21GA_Magic_Remote,_Sho.jpg",https://www.amazon.in/SIKAI-Shockproof-Protective-Skin-Friendly-Anti-Lost/dp/B0989WBCNN/ref=sr_1_5079?qid=1679128408&s=electronics&sr=1-5079,4.5,560,"Amazon.in: Buy SIKAI Silicone Case Cover for LG AN-MR21GA Magic Remote, Shockproof Protective Cover for LG Smart TV Remote 2021, Standing Design, Skin-Friendly, Washable, Anti-Lost with Loop (Glow Green) online at low price in India on Amazon.in. Check out SIKAI Silicone Case Cover for LG AN-MR21GA Magic Remote, Shockproof Protective Cover for LG Smart TV Remote 2021, Standing Design, Skin-Friendly, Washable, Anti-Lost with Loop (Glow Green) reviews, ratings, features, specifications and more at Amazon.in",11.99,29.99
Accessorize London Solid Heart Pendant Necklace|One Size,accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/I/51pePJLy+kL._AC_UL320_.jpg,product_images\15_Accessorize_London_Solid_Heart_Pendant_NecklaceOne_Size.jpg,https://www.amazon.in/Accessorize-London-Pendant-Silver-MN-88210812001/dp/B083G67T1R/ref=sr_1_1783?qid=1679159991&s=jewelry&sr=1-1783,4.0,10,"Accessorize London is a lifestyle brand that enriches everyday life with natural beauty, positivity and endless discovery. We are passionate about connecting contemporary designs with a network of craftspeople, creating unique collections to be cherished.",3.05,10.14
"Havells 16 A WiFi Smart Plug (White) (ACST161603) with Energy Monitoring- Suitable for Large Appliances like Geysers, Heat...",appliances,All Appliances,https://m.media-amazon.com/images/I/61AQveJ305L._AC_UL320_.jpg,product_images\16_Havells_16_A_WiFi_Smart_Plug_(White)_(ACST161603)_with_Energ.jpg,https://www.amazon.in/Havells-Smart-Socket-White-ACST161603/dp/B09992RJBH/ref=sr_1_706?qid=1679135629&s=appliances&sr=1-706,4.1,475,"Smart Control for Heavy Appliances: Power your ACs, geysers, heaters, and air coolers with this 16A Wi-Fi smart plug—ideal for heavy appliances. Experience hassle-free automation and intelligent energy consumption with a tap or voice command. | No Hub, No Hassle: Avoid the hub and join wirelessly—this smart plug plugs into 2.4 GHz Wi-Fi network directly. Easy installation and instant access to smarter control of your home appliances without additional devices. | Real-time Energy Monitoring: Keep tabs on your appliances' current energy consumption using the DigiTap app. Conserve energy, conserve money, and be aware of high-consumption appliances such as geysers and air conditioners. | Schedule Your Power: Create daily or weekly schedules for appliances to turn on or off automatically. Start your day with a warm bath or come home to a cooled room—automate comfort without drawing extra power, even when you are not there. | Voice-controlled Convenience: Voice-operate your devices with Amazon Alexa or Google Assistant. Simply command to switch on your AC, kettle, or table fan—never so convenient and voice-controlled was smart life. | Access from Anywhere: Home, office, or abroad, control your devices from anywhere with the Havells DigiTap app. Keep your home's power consumption under your control—at anytime, anywhere. | Ideal Partner for Smart Homes: From water pumps to electric kettles, this plug handles them all at once. An essential for every new-age home seeking a smarter, safer, and energy-efficient way of life. | Small Size, Big Features: White, narrow, and unobtrusive, it blends into your environment without sacrificing its high-powered features. Designed to take up little space but deliver maximum convenience and smart control. | Plug with Top Smart Plugs: Built to compete with the best—The Havells smart plug delivers premium performance, advanced security, and unsurpassed convenience in a single effective solution. | Your Gateway to Smarter Living: 16A capacity, energy monitoring, app, voice command, and hassle-free setup. This plug is revolutionizing convenience. Bring smart automation to your life and turn your regular device into a smart powerhouse.",10.5,21.23
"Konvio Neer Pre Filter for Water purifier for All RO Water Purifier, External Prefilter kit with 2 spun candles",appliances,All Appliances,https://m.media-amazon.com/images/I/61fkNZPrntL._AC_UL320_.jpg,product_images\17_Konvio_Neer_Pre_Filter_for_Water_purifier_for_All_RO_Water_P.jpg,https://www.amazon.in/Konvio-Purifier-Filter-Prefilter-Housing/dp/B07H9TXPD2/ref=sr_1_644?qid=1679135625&s=appliances&sr=1-644,4.3,960,"Designed for RO Purifiers: The KONVIO NEER Pre Filter is specifically designed to be compatible with all RO water purifiers, providing efficient prefiltration before the water reaches the main system. | High-Quality Spun Candles: This kit includes two high-quality spun candles that effectively filter out larger particles like dirt, dust, and sand, preventing them from damaging the RO system and ensuring better performance. | Secure Fittings: The prefilter kit comes with 3/8 and 1/4 elbows and pipes, which are essential for a secure and efficient installation, ensuring proper water flow and system performance. | Leak-Free Connections: Teflon tape is included in the kit to create tight, leak-free connections during installation, ensuring a secure fit and preventing any water leakage throughout the system. | This Pre filter comes with 1 additional Free Spun | High Quality Premium product from Konvio",8.39,11.99
"Boult Audio X1 Buds True Wireless in Ear Earbuds with 24H Playtime, Quad Mic ENC, Made in India, Type-C Fast Charging, Env...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71mT2gCHH+L._AC_UL320_.jpg,,https://www.amazon.in/Boult-Audio-Resistant-Assistant-Bluetooth/dp/B09WJ7R8BP/ref=sr_1_465?qid=1679133678&s=electronics&sr=1-465,3.9,"79,328","Environmental Noise Cancellation: Equipped with Quad Mics, experience a crystal clear calling experience, as ambient noises get filtered out. | Offers playback time of up to 6 hours for every charge. Total play-time of up to 24 Hours | Touch Controls & Voice Assistant: With one multifunction button, you can play/pause, previous/next track and answer/hang-up calls. Voice assistant function lets you access Siri/Google Assistant. | Auto pairing: Automatically pair with your device as soon as you take them out of the case. No need to manually pair to your device each time. | IPX5 Water Resistant: Can comfortably be used in the outdoors or in the gym.",21.59,83.99
"Rangwell (Pack of 4) 20mm Brass Pad Locks with 2 Keys Combo Padlocks Set for Luggage, Suitcase, Travelling(Color May Vary)",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Eh2ExMgZL._AC_UL320_.jpg,,https://www.amazon.in/Rangwell-Padlocks-Luggage-Suitcase-Travelling/dp/B08HHBK9B3/ref=sr_1_14909?qid=1679144386&s=luggage&sr=1-14909,3.5,38,"Package Contents: 4-Piece Cast Iron Pincylindrical Lock Plastic painted body Auto Locking Mechanism Outer Body | 2 iron keys Body made of iron | Tight Security Lock, Impossible to open without keys | Best for travelling to lock suticase, bag- SMALL SIZE LOCKS (20mm) Premium Quality Finish",3.59,11.99
Contacts Genuine Leather Chest Bag Sling Bag Shoulder Bag Leather Crossbody Bag for Men (Hunter Brown),accessories,Bags & Luggage,https://m.media-amazon.com/images/I/51RujpR3YuL._AC_UL320_.jpg,product_images\20_Contacts_Genuine_Leather_Chest_Bag_Sling_Bag_Shoulder_Bag_Le.jpg,https://www.amazon.in/Contacts-Genuine-Leather-Shoulder-Crossbody/dp/B0B713XG2N/ref=sr_1_18630?qid=1679144508&s=luggage&sr=1-18630,5.0,7,"This small crossbody chest bag offers ultimate convenience and functionality. With adjustable shoulder straps (30~62cm approx), you can easily customize the fit to your liking. Whether you're going on a business trip or a weekend getaway, this sling bag is perfect for carrying your essentials in style. | The CONTACTS Design Full Grain Leather Sling Bag for Men is exquisitely crafted with high-quality materials, including Crazy horse leather, giving it a unique and timeless appeal. Its dark brown color adds a touch of sophistication to any outfit. | Designed with your comfort in mind, this sling bag features hooks on both sides, allowing you to choose to wear it either on your left or right shoulder. This innovative design helps relieve pressure and ensures a comfortable and relaxed experience throughout the day. | This compact and lightweight sling bag is not only suitable for everyday use but also perfect for outdoor activities such as camping, hunting, hiking, and more. Its durability and versatility make it an excellent choice for all your adventures. | With multiple compartments and pockets, this sling bag provides ample space to keep your belongings organized and easily accessible. The secure zipper closure ensures the safety of your valuables, while the stylish design keeps you looking fashionable wherever you go. | Disclaimer: All our products are made from genuine leather. Due to the nature of natural leather, there may be slight variations in color and texture between pictures & actual product. Also color may slightly vary due to lighting on the photography",11.95,50.4
ACTION OFFICE-84 Men's Black Synthetic Leather Formal Shoes,men's shoes,Formal Shoes,https://m.media-amazon.com/images/I/81KUyJcHF0L._AC_UL320_.jpg,product_images\21_ACTION_OFFICE-84_Men's_Black_Synthetic_Leather_Formal_Shoes.jpg,https://www.amazon.in/ACTION-OFFICE-84-Synthetic-Leather-Formal/dp/B09W2CT5K6/ref=sr_1_1485?qid=1679147936&s=shoes&sr=1-1485,3.6,22,Buy Action-OFFICE-84 Synthetic Leather Stylish & Comfortable Office Formal Shoes Foe Men Black from Formal Shoes at Amazon.in. 30 days free exchange or return,10.18,20.39
selinta Hair Towel Wrap Absorbent Towel Hair-Drying Bathrobe Magic Hair Warp Towel Super Quick-Drying Microfiber Bath Towe...,home & kitchen,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Dcg+4dZ7L._AC_UL320_.jpg,,https://www.amazon.in/selinta-Hair-Drying-Quick-Drying-Microfiber-Multicolor-400gsm/dp/B0B7DDWLP8/ref=sr_1_4483?qid=1679213157&s=kitchen&sr=1-4483,4.0,143,"Material: Manufactured from Microfiber Fabric. | This microfiber hair towel is the perfect bathroom accessory for any woman with any length of hair! | Absorbing microfiber hair drying cap Work without dripping water from wet hair and also gentle on hair and skin. Fits every head easily. | Advantage of this elegant towel hair wrap is; Its smaller size than a regular towel will not make your head feel heavy when you're wrapping hair. Hair Wrap is a different towel compared to the commonly used towel, can absorb more water than the usual towel.",1.67,8.39
"InstaCuppa Automatic Probiotic-Rich Yogurt Maker with Auto Temperature Regulation, Easy To Operate Electric Curd Maker Mac...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/619ekpmDNCL._AC_UL320_.jpg,,https://www.amazon.in/InstaCuppa-Automatic-Probiotic-Rich-Temperature-Regulation/dp/B0B5NJP8K6/ref=sr_1_542?qid=1679135619&s=appliances&sr=1-542,4.3,319,"SETS PERFECTLY EVEN IN WINTER, AC ROOMS & COOL WEATHER - No more failed batches because your kitchen is too cold. No more wrapping vessels in towels hoping they'll stay warm enough. InstaCuppa's automatic temperature control maintains precise 42-45°C for 6-8 hours regardless of room temperature, season, or weather. Whether it's December's chill, your air-conditioned bedroom, or monsoon dampness, you get the same thick, probiotic-rich dahi every time. Finally, year-round consistency without temperature anxiety. | PRECISE 42-45°C = MAXIMUM PROBIOTICS FOR GUT HEALTH - At this scientifically proven temperature range, beneficial Lactobacillus bacteria multiply exponentially, creating billions of live cultures for optimal digestion, immunity, and gut wellness. Too cold (common in winter/AC), fermentation fails. Too hot (near heaters), you kill probiotics. InstaCuppa eliminates this guesswork with intelligent auto-control that maintains perfect warmth throughout fermentation. Your family gets maximum gut-health benefits in every bowl - fresh living probiotics, not dead cultures from weeks-old store yogurt. | SAVES ₹500+ MONTHLY + ZERO TEMPERATURE GUESSWORK - Make 1L of fresh, probiotic-rich yogurt for just ₹60 versus ₹120-150 for commercial yogurt. That's ₹500-600 saved monthly while getting superior gut-health benefits. More importantly, save yourself the mental stress of temperature management. No checking if the room is warm enough. No moving vessels around hunting for heat. No morning disappointment from watery half-set curd. Just press start and forget - perfect thick dahi every time, whatever the weather outside. | Premium Materials That Protect Your Family and Your Budget - Food-grade stainless steel interior ensures no plastic contact with your fermenting yogurt, safe for your family every single batch. Dual-seal lid system locks in freshness and prevents contamination during 6-8 hour fermentation. Energy-efficient 15-watt operation costs just ₹2-3 per batch, plus the peace of mind from premium food-safe materials your family deserves. | Billions of Live Probiotics for Stronger Immunity and Better Digestion - Fresh homemade yogurt contains exponentially more beneficial gut bacteria than store-bought varieties, supporting your family's immune system against seasonal illnesses. Good bacteria help reduce bloating, improve nutrient absorption, and support regular digestion - especially important for growing children and your own wellness. Each bowl works naturally to strengthen gut health, helping your family feel better from the inside out. Perfect for kids with fussy tummies or anyone dealing with digestive discomfort.",11.99,17.99
"Mungat Powerful Rechargeable Table Fan with 21 SMD LED Light, Table Fan for Home, Table Fans, Table Fan for Office Desk, T...",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/41FQKbSye9L._AC_UL320_.jpg,product_images\24_Mungat_Powerful_Rechargeable_Table_Fan_with_21_SMD_LED_Light.jpg,https://www.amazon.in/Mungat-Powerful-Rechargeable-Kitchen-Multicolor/dp/B09DYX49VB/ref=sr_1_2284?qid=1679135169&s=kitchen&sr=1-2284,3.4,67,"2 in 1 7"" Inch Leaf Table Fan Works in AC and DC when Power Fails, Can Be Charged Using Solar Panel Boards also<br> | 5 step Speed and 21 LED with Low and High Brightness, Individual Button for Fan & Light. Both Fan & Light can be used at a Time. led lamp can be used 8 hours OR fan use up to 4 hours or more. led light and fan at the same time about the same use of up to 3 hours...<br> | The Fan Can Be Mounted in Fall and Can be Place on Table, an be carried anywhere easily, it is light weighted rechargeable fan; The charging cable is included in the box and this fan can also be charged using a micro usb cable.<br> | NEW UPDATED MODEL WITH EXTRA BATTERY BACKUP UPTO 6 to 8 HRS and you can also charge your mobile device using the backup from the fan<br> | Controller Type: Button Control; Mounting Type: Angled",11.99,22.79
lynx Women's Clutch,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81LOBuedjmL._AC_UL320_.jpg,,https://www.amazon.in/Formal-Stylish-Fashion-Leather-Wallet/dp/B082YFYS52/ref=sr_1_8159?qid=1679144165&s=luggage&sr=1-8159,4.0,675,Lynx Women's Clutch : Amazon.in: Fashion,4.19,11.99
Sjc Lady Fashion Parveen Enterprises-Lady Fashion Small Size Stone Silver Colour Stone Bindi Set Of 2 Packs,beauty & health,Make-up,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61MmA0lQ9fL._AC_UL320_.jpg,,https://www.amazon.in/Lady-Fashion-Parveen-Enterprises-Lady-Silver/dp/B0899P48GY/ref=sr_1_9985?qid=1679215246&s=beauty&sr=1-9985,3.5,5,"Type : Silver Stone Bindi | Simple Yet elegant bindis to match your outfits | Self Adhesive & Just Ready for Use | Bindi for Women. Use for daily wear or any occasion.This product is handmade & may vary colour,size | Use for daily wear or any occasion",0.48,2.64
TRIPIN SILVER CUFFLINKS WITH SWAROVSKI ELEMENTS FOR MEN IN A GIFT BOX,accessories,Jewellery,https://m.media-amazon.com/images/I/615wLzDCSaL._AC_UL320_.jpg,product_images\27_TRIPIN_SILVER_CUFFLINKS_WITH_SWAROVSKI_ELEMENTS_FOR_MEN_IN_A.jpg,https://www.amazon.in/TRIPIN-SILVER-CUFFLINKS-SWAROVSKI-ELEMENTS/dp/B00VLOCEEO/ref=sr_1_4134?qid=1679145290&s=jewelry&sr=1-4134,3.9,15,Buy TRIPIN Cufflinks and TIE PIN Set for Men Silver and Black Colour for Office Corporate Party French Cuff Shirts Shirt Suit Blazer in A Gift Box (B06ZZH6NQG) (HNAPZSIL1145) from Cufflinks at Amazon.in. 30 days free exchange or return,4.78,11.99
MYZA Women's Spandex or Polyester Lace Camouflage Regular Thong Panties Underwear,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/61xN2Adg6cL._AC_UL320_.jpg,product_images\28_MYZA_Women's_Spandex_or_Polyester_Lace_Camouflage_Regular_Th.jpg,https://www.amazon.in/MYZA-Polyester-Camouflage-Underwear-RIOE-PN-05050/dp/B082HLHXH9/ref=sr_1_10738?qid=1679155255&s=apparel&sr=1-10738,2.7,5,Buy MYZA Women's Spandex or Polyester Lace Camouflage Regular Thong Panties Underwear(RIOE-PN-05050) (Medium) from G-Strings & Thongs at Amazon.in,3.59,5.99
"KZ EDC in-Ear Monitors, HiFi Stereo Stage/Studio IEM Wired Noise Isolating Sport Earphones/Earbuds/Headphones with Detacha...","tv, audio & cameras",Headphones,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61a28duuM7L._AC_UL320_.jpg,,https://www.amazon.in/KZ-Isolating-Headphones-Detachable-Audiophile/dp/B09M89JVGP/ref=sr_1_3028?qid=1679128873&s=electronics&sr=1-3028,3.0,20,"HD Resolution From TheCore Dynamic Driver Unit.10mm high resolution dynamic driver +through-tube internal structure.Equipped with 10mm high-definition resolution dynamic unitand large size external magnetic structure. Through-tube cavitystructure makes the sound signal present directly and enjoy themusic like you were actually at the scene. | Exquisite Craftsmanship AndEmbedded Personalized Metal Parts.Simple custom appearance with incredibletwo-tone color.Colorful skin-friendly resin housings Embed bright and shinymetal parts, not only shows unique personality beauty, but alsoreduce the internal discordant resonance of the cavity. | Excellent PerformanceEasy To Drive By Phone.You can get better music detail resolution withprofessional players.Powerful performance potential brings more choices, you canuse professinal player to experience the live sound like youwere in the theater. Though using telephone or MP3, you canalso enjoy high quality music. | Lightweight And ComfortableWearing ,Ergonomic design with excellent sound insulationand noise reduction ,Fit the shape of the human ear, and effectively reduce externalnoise interference when worn correctly. Have no fear of vigorousexercises owing to the stable and comfortable wearing. | OFC Oxygen-freeCopper Flat Cable ,Selected high-specification oxygen-freecopper cable to reduce the signal loss ,Oxygen-free copper cable effectively reduces signal loss during transmission,and the outer layer is wrapped withinsulating material, so the double lineparallel cable is not easily tangled andhas a longer using time.",9.95,16.79
Precious Moments BIS Hallmarked Personalised Anniversary 10/20/50/100 gm 999 Pure Silver Coin by ACPL,accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/I/71D2riRE-VL._AC_UL320_.jpg,product_images\30_Precious_Moments_BIS_Hallmarked_Personalised_Anniversary_102.jpg,https://www.amazon.in/Precious-Moments-Hallmarked-Personalised-Anniversary/dp/B09MQR4PQ3/ref=sr_1_1350?qid=1679159973&s=jewelry&sr=1-1350,4.6,229,Buy Precious Moments BIS Hallmarked Personalised 5 Gm Anniversary Silver Coin 999 Pure by ACPL from Coins at Amazon.in,17.28,24.0
VIP Aristocrat Polyester Softsided (Set of 3 Pieces) Small Medium and Large 4W Strolly Luggage (Blue),accessories,Bags & Luggage,https://m.media-amazon.com/images/I/61j3WQBkEKL._AC_UL320_.jpg,product_images\31_VIP_Aristocrat_Polyester_Softsided_(Set_of_3_Pieces)_Small_M.jpg,https://www.amazon.in/VIP-Aristocrat-Polyester-Softsided-Strolly/dp/B08CCB7K17/ref=sr_1_15255?qid=1679144397&s=luggage&sr=1-15255,4.0,68,"SPINNER WHEELS - FOUR WHEELSZERO EFFORT, FOUR MULTIDIRECTIONAL SPINNER WHEELS ALLOW 360 DEGREE UPRIGHT ROLLING IN MULTIPLE DIRECTIONS SO THERE IS NO WEIGHT ON YOUR ARM.? | CROSS STRAPS - SECURE THE CONTENTS OF YOUR LUGGAGE TO HELP PREVENT SHIFTING THAT CAN CAUSE DAMAGE THEY ALSO HELP KEEP THE CONTENTS OF YOUR LUGGAGE ORGANIZED.? | 100% POLYESTER :- ABSORBS IMPACT UNDER STRESS PROVIDES DURABILITY AND FLEXIBILITY.? | RUBBER PATCHES ON THE INNER STRAPS TO PREVENT TEARING.?; PROTECT YOUR BELONGINGS WITH OUR EASY TO USE COMBINATION LOCKS.? | Department Name: Unisex",113.76,332.28
REBUY Red Tiger Eye Mala 8 mm Beads 108 Beads Reiki Crystal Healing Stone Mala for Men and Women,accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/I/71cprIwPNdL._AC_UL320_.jpg,product_images\32_REBUY_Red_Tiger_Eye_Mala_8_mm_Beads_108_Beads_Reiki_Crystal_.jpg,https://www.amazon.in/REBUY-Tiger-Beads-Crystal-Healing/dp/B08LBM19J8/ref=sr_1_7076?qid=1679160183&s=jewelry&sr=1-7076,4.5,14,REBUY Red Tiger Eye Mala 8 mm Beads 108 Beads Reiki Crystal Healing Stone Mala for Men and Women : Amazon.in: Fashion,9.59,19.19
DazzelOn Ceiling Projector Mount Height Adjustable Universal Stand Fits Epson Optoma Benq Viewsonic Projectors (Alloy Stee...,"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/61SVLHAzBcL._AC_UL320_.jpg,product_images\33_DazzelOn_Ceiling_Projector_Mount_Height_Adjustable_Universal.jpg,https://www.amazon.in/DazzelOn-Projector-Adjustable-Universal-Projectors/dp/B08FBKG4YV/ref=sr_1_4647?qid=1679128384&s=electronics&sr=1-4647,3.8,60,"Universal Projector Mount - The hanger is easy to place and has three-hole and four-hole configuration. Fits the majority of projectors on the market. This mount can be used on flat ceiling. | Strong Support - Crafted from premium quality and heavy duty steel to provide a reliable projector mount with maximum strength and support. Our products can bear the maximum support weight: 33 lbs / 15 kg, if used in large projectors, the stand may bend. | Adjustable - Features -15°to +15°tilt, Roll: -8 to +8 degrees, Maximum distance between mounting holes: 17.5 in/ 44.5 cm. | 2 in 1 DESIGN : Can be installed as a Flush mount or Telescopic with height adjustment 16.92"" - 25.59"". Minimum distance from ceiling (w/o extension column): 4.7in/12cm. | Easy to Install - Quick release hooks attach and detach by tightening and loosening the mounting bolts. All necessary hardware and instructions are provided for assembly.",9.83,23.99
Godox BDR-W550 Beauty Dish Reflector White 55cm Bowens Mount,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51pKl6KaFfL._AC_UL320_.jpg,,https://www.amazon.in/BDR-S550-Beauty-Reflector-Bounce-BDR-C550/dp/B07BFXFVLZ/ref=sr_1_7092?qid=1679132954&s=electronics&sr=1-7092,4.6,4,Diameter of 55cm | Provides virtually shadow-free light | Ideal for portrait photography | White inside,67.5,68.28
Body Maxx 5 Kg x 2 Pcs;PVC Dumbells;Color Blue;Total Weight ; 10 Kg,sports & fitness,Strength Training,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51TKuFCZwTL._AC_UL320_.jpg,,https://www.amazon.in/Body-Dumbells-Color-Total-Weight/dp/B07CSPQ38C/ref=sr_1_5999?qid=1679218102&s=sports&sr=1-5999,3.9,140,Style Name: All-Season; Material Type: Plastic,7.79,20.4
Longies Women's Cotton Blend Boxer Regular Fit Casual Shorts,women's clothing,Western Wear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81i8ka5HzDS._AC_UL320_.jpg,,https://www.amazon.in/Longies-Womens-Regular-LWSDPO2V001_Yellow-Blue001_L/dp/B08WYRQPC1/ref=sr_1_8152?qid=1679153738&s=apparel&sr=1-8152,3.7,166,"Buy Longies Women's Boxer Shorts (LWSDPO2V001_White,Red003_M) from Shorts at Amazon.in. 30 days free exchange or return",5.18,15.59
